class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Sitting,0.458262831,0.430520803,-0.308288604,0.999984086,0.470831782,0.402021021,-0.29598996,0.999981344,0.478734553,0.401993811,-0.296035886,0.999986708,0.486054093,0.402523458,-0.296266854,0.999982715,0.450775623,0.402194947,-0.285397887,0.999965787,0.446080834,0.402527839,-0.285342753,0.999964714,0.441078514,0.403462082,-0.285334408,0.999947846,0.498840958,0.411852658,-0.179482639,0.999992013,0.44214201,0.413533092,-0.128583685,0.99996835,0.474783957,0.460302234,-0.26164782,0.999996722,0.450019598,0.46070829,-0.24637112,0.999992192,0.557770967,0.578347623,-0.119274758,0.999991357,0.407233953,0.559307635,-0.031115923,0.999869525,0.577981651,0.775699019,-0.163816705,0.986044824,0.377402008,0.71948719,-0.060795479,0.936398268,0.582926989,0.829969287,-0.408610493,0.989442766,0.319598943,0.74593997,-0.341766149,0.976749599,0.585139215,0.87490803,-0.467371762,0.983613431,0.29695946,0.777605355,-0.390836179,0.973499596,0.573668778,0.855161011,-0.503024399,0.986321032,0.304586381,0.760429978,-0.426826,0.975483716,0.568588495,0.840261817,-0.425700814,0.98415947,0.312389493,0.752255142,-0.36430046,0.972038209,0.500105023,0.897796392,-0.020483805,0.993073046,0.406804025,0.872756958,0.020611186,0.978370607,0.516495585,1.017943263,-0.524718583,0.927038312,0.266617358,0.921589136,-0.234207436,0.887922883,0.453879684,1.184172273,-0.173509508,0.3926498,0.328732938,1.160967708,-0.039152984,0.3794972,0.441863686,1.192234516,-0.138114423,0.461259335,0.349619746,1.183814526,-0.020666877,0.33158347,0.440516561,1.280209899,-0.221872762,0.241403908,0.311590761,1.275214672,-0.114693835,0.173189193
Sitting,0.462351501,0.432304859,-0.300921053,0.999985516,0.475932688,0.40315932,-0.292314738,0.999983072,0.484212488,0.403355569,-0.292333573,0.99998796,0.491604179,0.404057086,-0.292521179,0.999984324,0.454548508,0.402801245,-0.281141132,0.999968946,0.449954659,0.403050274,-0.281080216,0.999967933,0.444801569,0.403872609,-0.281065077,0.999952614,0.504627824,0.41316697,-0.190741181,0.999992728,0.446330786,0.414404839,-0.136487141,0.999971151,0.479123503,0.462455153,-0.258851022,0.99999702,0.453261673,0.462480366,-0.24280104,0.999992847,0.563376248,0.580844522,-0.139352322,0.999991417,0.412554681,0.559424102,-0.049523208,0.999866903,0.588461995,0.773555696,-0.178974181,0.986935198,0.377531558,0.707904041,-0.062131803,0.938508451,0.584480643,0.833096206,-0.407339275,0.990007281,0.31814906,0.746294141,-0.305590838,0.977172434,0.585733056,0.876773179,-0.463373423,0.984380484,0.296289593,0.780142665,-0.349067271,0.973940969,0.573845804,0.857634723,-0.49710089,0.986960828,0.304443479,0.767075181,-0.385115564,0.975882232,0.568937898,0.844340205,-0.423086464,0.984942794,0.312095255,0.757671773,-0.3266128,0.972680092,0.50281179,0.898056567,-0.020706572,0.993488014,0.410029829,0.871933937,0.020853015,0.979302824,0.516982853,1.029081464,-0.462961018,0.927893162,0.268663645,0.925020456,-0.168639839,0.889300346,0.454150617,1.155617833,-0.135565713,0.399370313,0.34298721,1.115840793,0.011066997,0.381164223,0.443180174,1.155918717,-0.101429164,0.473105788,0.364988744,1.126505494,0.029353863,0.335268825,0.440081924,1.248384476,-0.153927281,0.248565212,0.335814059,1.218909502,-0.021929422,0.175812274
Sitting,0.467435271,0.432440132,-0.313336402,0.999986708,0.482059002,0.40337646,-0.310033381,0.999984562,0.490227759,0.403674692,-0.310001552,0.999989033,0.497258425,0.404391706,-0.310143858,0.999985695,0.46091947,0.402823597,-0.296764374,0.999971628,0.456325442,0.403046787,-0.296725452,0.999970794,0.452135652,0.403808624,-0.296745986,0.999956727,0.511319518,0.413844585,-0.225027487,0.999993384,0.454486072,0.414437145,-0.161789611,0.999973595,0.482797712,0.46255371,-0.277115881,0.999997258,0.45795393,0.462578237,-0.258419544,0.999993384,0.571158051,0.583107412,-0.181522503,0.999991119,0.419284344,0.559162378,-0.083936736,0.999864101,0.597016633,0.775537133,-0.230762869,0.987815082,0.377740145,0.704644799,-0.090349309,0.941011906,0.587779582,0.832854867,-0.438144863,0.990580142,0.314201355,0.756946146,-0.294113338,0.977249146,0.586171031,0.875088334,-0.487416595,0.985157311,0.294152319,0.789001644,-0.331463963,0.97401619,0.574267864,0.856024086,-0.516211867,0.987602592,0.302716613,0.779109716,-0.365154743,0.975997567,0.569337606,0.843237221,-0.450519174,0.985716879,0.310125142,0.772019625,-0.313268363,0.973095357,0.507839382,0.897745371,-0.021423841,0.993762493,0.416035086,0.867771208,0.021585319,0.979838848,0.518429875,1.044681191,-0.414468527,0.927771986,0.270291299,0.926275015,-0.141895711,0.887906611,0.43313393,1.102285385,-0.128496051,0.39245671,0.376963973,1.08146894,0.006660118,0.37214309,0.424343914,1.088383555,-0.096851148,0.469433248,0.401142538,1.080600381,0.022868712,0.331199139,0.390958875,1.173198342,-0.129639357,0.246769726,0.383091837,1.178571105,-0.011630401,0.175965637
Sitting,0.474305332,0.433341384,-0.330886066,0.9999879,0.48913914,0.404195309,-0.325594068,0.999985993,0.497160435,0.404577583,-0.325564921,0.999990046,0.503923535,0.405248255,-0.325714767,0.999987006,0.468650669,0.403069317,-0.31324631,0.999974251,0.463818252,0.403142929,-0.313226372,0.999973536,0.460246652,0.40382719,-0.313258946,0.999960721,0.518369853,0.41466704,-0.232391432,0.99999398,0.462831318,0.414533913,-0.172907397,0.999976039,0.48925513,0.463177145,-0.292073697,0.999997497,0.465222687,0.463116497,-0.2743783,0.99999398,0.577396214,0.583477855,-0.1787792,0.999991238,0.424892485,0.559062302,-0.092183918,0.999868572,0.59925729,0.774691105,-0.23063688,0.988497257,0.377711445,0.705087841,-0.115281895,0.944773793,0.591079593,0.833574057,-0.453201145,0.991002858,0.309619009,0.773978353,-0.308314264,0.977778375,0.588550448,0.875257611,-0.507478476,0.985684216,0.287987173,0.804112315,-0.349966109,0.974287271,0.575593233,0.856228411,-0.536857665,0.988051176,0.293984383,0.797822475,-0.386075258,0.976274848,0.571365714,0.844041169,-0.46693024,0.986272097,0.304269254,0.788498104,-0.328919202,0.973610938,0.513442695,0.897975326,-0.023304645,0.99401933,0.421972573,0.867585897,0.023468133,0.980321944,0.520755947,1.038129568,-0.453739822,0.926035225,0.270443916,0.926633775,-0.161525086,0.88657254,0.434906334,1.131346583,-0.153424531,0.391134888,0.358304948,1.102371693,0.002460472,0.373935074,0.425602376,1.12987709,-0.120358229,0.471869469,0.379171789,1.113730788,0.019137299,0.335570782,0.397649646,1.213495731,-0.180160567,0.249230042,0.350280046,1.202815652,-0.038494058,0.180046424
Sitting,0.480937809,0.433335871,-0.330255717,0.999988794,0.495847404,0.404279381,-0.325490564,0.999987125,0.50363785,0.404689372,-0.325471014,0.999990821,0.510055423,0.405340999,-0.325643986,0.999988019,0.475554287,0.403066665,-0.313686907,0.999976337,0.470481157,0.403048664,-0.313677847,0.999975741,0.466940939,0.403597355,-0.313729823,0.999963999,0.524723589,0.41521734,-0.234326079,0.999994457,0.469412267,0.414489031,-0.176661342,0.999978006,0.495400578,0.463092625,-0.291790843,0.999997675,0.471728235,0.463098615,-0.274772227,0.999994397,0.582514942,0.583032012,-0.178525895,0.999990761,0.429103464,0.559026301,-0.098469839,0.999868393,0.607053936,0.773396313,-0.227929786,0.988953352,0.377809882,0.705617905,-0.125492081,0.947192073,0.59672612,0.833715737,-0.440395743,0.991113126,0.309263527,0.778964937,-0.310139358,0.97705394,0.59216094,0.874529123,-0.492900699,0.985666811,0.288094044,0.809810877,-0.348448753,0.973150015,0.578233182,0.855442286,-0.522050619,0.988042712,0.294630289,0.798269331,-0.383897901,0.975257635,0.575223148,0.843037426,-0.453739792,0.98637563,0.304512709,0.790692985,-0.329922706,0.972869992,0.515287638,0.899709225,-0.023626981,0.994014919,0.424525797,0.867584288,0.023777543,0.980099618,0.520652056,1.036515236,-0.449787796,0.922408879,0.272559702,0.926887691,-0.156472832,0.883801579,0.444387972,1.142749429,-0.136652976,0.385928273,0.351324558,1.113831282,-0.005719009,0.374985516,0.438187033,1.144298911,-0.103525773,0.470257789,0.371076733,1.129019976,0.009553401,0.337042421,0.409315497,1.229408264,-0.163070172,0.247786626,0.340360641,1.217472792,-0.055074088,0.182385549
Sitting,0.486786604,0.433857977,-0.337596536,0.999989748,0.501753151,0.405305266,-0.33132273,0.999988258,0.509444833,0.405931801,-0.331320524,0.999991596,0.515693367,0.406684279,-0.33151406,0.999989092,0.481463492,0.403261155,-0.317993522,0.999978423,0.476298749,0.403104454,-0.317958921,0.999977887,0.472593069,0.40359959,-0.317974836,0.999967158,0.529713631,0.416628689,-0.2375108,0.999994934,0.474607229,0.414518058,-0.172895521,0.999979913,0.500578701,0.463349968,-0.298530579,0.999997914,0.477474064,0.463288754,-0.279367656,0.999994874,0.589053094,0.584394813,-0.177260011,0.999991059,0.433177561,0.558962941,-0.084245317,0.999873042,0.61195612,0.776124716,-0.223970503,0.989601612,0.386259943,0.70571655,-0.115972318,0.948512554,0.606447816,0.839110374,-0.446199954,0.991448998,0.314820975,0.775328994,-0.307852626,0.977256894,0.602429032,0.877088845,-0.501291811,0.986059666,0.293400735,0.806194544,-0.34876141,0.973105669,0.590446651,0.855027318,-0.530612111,0.988375485,0.301288158,0.795293152,-0.385837585,0.975186348,0.588594854,0.842640281,-0.460320383,0.986766577,0.311059177,0.786093235,-0.328882039,0.97290045,0.521591663,0.900307775,-0.02415837,0.994009197,0.429334462,0.867002547,0.024349533,0.980162561,0.522902369,1.006055474,-0.456065506,0.917903662,0.280489743,0.927100122,-0.192184091,0.884514987,0.443799347,1.166551709,-0.159112066,0.383664668,0.339514911,1.130898833,-0.036979489,0.382679552,0.435438335,1.176654696,-0.127858222,0.47300148,0.358126462,1.157597423,-0.0233864,0.34579882,0.412460178,1.25801909,-0.195955634,0.246219754,0.307392061,1.236782193,-0.110659584,0.186009392
Sitting,0.49561578,0.434087336,-0.351255506,0.999990523,0.510118484,0.405778259,-0.345216393,0.999989212,0.517312765,0.406359106,-0.3451989,0.999992251,0.523747802,0.407030404,-0.345391214,0.999989986,0.48960343,0.403536677,-0.334223092,0.999980211,0.484235674,0.403263628,-0.334215432,0.999979734,0.480035841,0.403697491,-0.334240943,0.9999699,0.537133992,0.417068601,-0.25163573,0.999995351,0.481556416,0.414866477,-0.196841851,0.999981523,0.509785831,0.463331819,-0.31209299,0.999998093,0.486593395,0.463656008,-0.295760095,0.999995232,0.596509159,0.584693611,-0.186012,0.99999094,0.439108759,0.558975995,-0.116647363,0.999872565,0.620312572,0.775624573,-0.227323562,0.990098059,0.392386347,0.705875218,-0.156146914,0.950376272,0.616047263,0.836625159,-0.44237861,0.991637826,0.322859585,0.77248919,-0.365457952,0.977316737,0.615191817,0.876412034,-0.495167017,0.986249089,0.302484274,0.803948104,-0.40733695,0.973001122,0.599440753,0.855219245,-0.524469554,0.988537073,0.310366452,0.793108046,-0.442017555,0.975043118,0.597258627,0.842990935,-0.456218302,0.98703438,0.319616854,0.783581018,-0.385338128,0.972893596,0.528034151,0.900348306,-0.022518171,0.993875325,0.435610682,0.86585921,0.022713516,0.979313195,0.536439061,0.993664443,-0.461359888,0.91692245,0.289449513,0.927205682,-0.193279952,0.884537578,0.440444618,1.166866302,-0.207111284,0.384170383,0.338597327,1.130991817,-0.035675555,0.38037917,0.427963674,1.176671743,-0.180419058,0.474695742,0.356389433,1.15658164,-0.021687832,0.345589936,0.407004982,1.260555029,-0.254998744,0.247081384,0.305812538,1.233263254,-0.09709508,0.184694961
Sitting,0.507711172,0.434270084,-0.336681753,0.999991059,0.520767093,0.406320363,-0.329565197,0.999989867,0.527580738,0.406796992,-0.329562962,0.999992669,0.53393805,0.40733847,-0.329766601,0.999990642,0.501778066,0.404014975,-0.318966776,0.999981642,0.496639639,0.403581321,-0.318941504,0.999981225,0.492011696,0.403824061,-0.318973184,0.999972224,0.546914697,0.417196304,-0.232968047,0.999995649,0.492444575,0.414853543,-0.180106252,0.999982893,0.521318614,0.4632743,-0.296682149,0.999998212,0.498733461,0.463808149,-0.280866086,0.999995589,0.604585886,0.584115148,-0.171270043,0.999990821,0.449838549,0.558936536,-0.105967745,0.99987787,0.626980364,0.775315583,-0.216748089,0.990210235,0.403966188,0.704849243,-0.157420114,0.952280879,0.619926691,0.835990727,-0.431310594,0.991221488,0.335876882,0.771469712,-0.372416168,0.977537334,0.622528195,0.874893606,-0.479652584,0.98556298,0.315607697,0.803135157,-0.415060937,0.973005295,0.60783422,0.853964746,-0.505360961,0.987949967,0.32166037,0.791621089,-0.448207468,0.975045562,0.604414046,0.841471016,-0.444017947,0.986494958,0.330551326,0.781877577,-0.391788691,0.972901106,0.535547614,0.898997486,-0.01781656,0.993480682,0.443227142,0.862222791,0.018061731,0.979005635,0.556614935,0.982692301,-0.466438293,0.917215466,0.301301181,0.927321196,-0.192958996,0.885600388,0.440485775,1.145041823,-0.234088346,0.384415358,0.331521869,1.129633546,-0.025755877,0.379865319,0.42647776,1.149778605,-0.209882811,0.470149279,0.346929789,1.155954242,-0.010441213,0.346301228,0.403951555,1.235081553,-0.287481308,0.247943953,0.29285413,1.222233057,-0.083113238,0.18433474
Sitting,0.511816144,0.4340249,-0.308440626,0.999991298,0.524853408,0.40631628,-0.30512619,0.999990165,0.532201707,0.40678215,-0.305127919,0.999992847,0.538575649,0.407301933,-0.305339158,0.99999088,0.506275177,0.404003829,-0.291900009,0.999982357,0.501235247,0.40354386,-0.29185015,0.999982059,0.497388989,0.403756678,-0.29192847,0.999973476,0.552309811,0.417193264,-0.228051469,0.999995768,0.49971509,0.414764076,-0.161371335,0.999983549,0.525655806,0.462542713,-0.276091129,0.999998271,0.503595948,0.463481396,-0.255680352,0.999995708,0.612495959,0.583712876,-0.170689732,0.999990165,0.458508253,0.558852375,-0.093858972,0.999879777,0.632361472,0.767567337,-0.215136647,0.989841998,0.411366165,0.704791188,-0.141241997,0.953251243,0.62629354,0.834621668,-0.408028066,0.990491807,0.343164355,0.77006346,-0.366463006,0.976834178,0.629263341,0.87384975,-0.45687294,0.984365046,0.32013911,0.801991105,-0.405298531,0.972027719,0.615651429,0.853598952,-0.482722133,0.986929536,0.32697925,0.790211141,-0.437761873,0.974104822,0.612096488,0.841078103,-0.421083063,0.985541403,0.33706817,0.780869186,-0.387805343,0.972066224,0.54133302,0.897721946,-0.01664209,0.992864907,0.448771238,0.862002969,0.016897589,0.977074862,0.56804949,0.979199827,-0.454304636,0.916150451,0.309079975,0.927412093,-0.189884722,0.884187162,0.478355825,1.163812876,-0.220901683,0.393093467,0.333443463,1.127530456,-0.020647554,0.378987074,0.460444301,1.180619597,-0.196469873,0.476131558,0.347198397,1.155307174,-0.00472076,0.349779308,0.463608682,1.281843662,-0.282521546,0.252768189,0.296622932,1.21579802,-0.077917643,0.183513686
Sitting,0.516621172,0.433066487,-0.271113425,0.999991655,0.52916646,0.405547976,-0.268599123,0.999990642,0.536831021,0.405833185,-0.26859495,0.999993205,0.543716371,0.406179428,-0.268808812,0.999991298,0.511026025,0.403590739,-0.253444046,0.99998337,0.506771266,0.403163642,-0.253388077,0.999983132,0.503436923,0.403371215,-0.253457725,0.999975145,0.558038592,0.416222632,-0.197457433,0.999996006,0.506062865,0.414391786,-0.118323922,0.999984503,0.531416118,0.460550845,-0.240216404,0.999998391,0.509027421,0.462239206,-0.217125013,0.999995947,0.620373905,0.582055569,-0.136498302,0.999989986,0.465654761,0.558617711,-0.068511799,0.999885082,0.636651337,0.765280664,-0.184913203,0.989458203,0.420101315,0.70493412,-0.133140177,0.952871323,0.631893873,0.833862126,-0.379390329,0.989949107,0.351614058,0.768217564,-0.356430918,0.976442933,0.640975654,0.873184741,-0.430040777,0.983617246,0.327777088,0.801365077,-0.39735955,0.971630991,0.630292594,0.853795648,-0.458686054,0.986303508,0.335477978,0.789578319,-0.431755304,0.973729968,0.623652697,0.840903878,-0.393958092,0.984960079,0.345616609,0.780186772,-0.377551168,0.971733451,0.55043453,0.897280872,-0.014615729,0.992415607,0.457731158,0.861710429,0.014903869,0.976241827,0.586801052,0.976862669,-0.45559746,0.918571651,0.315782428,0.928747654,-0.184243113,0.885987818,0.477517188,1.161637545,-0.249507427,0.406134278,0.334593564,1.129431963,-0.021972675,0.387527525,0.458446801,1.176509738,-0.227563143,0.484882087,0.34750396,1.16145134,-0.005523533,0.359666079,0.453692257,1.279038787,-0.318816811,0.261897862,0.297081083,1.219556212,-0.08150588,0.188714489
