class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Walking,0.587533057,0.040638238,-0.127747446,0.999585211,0.602273107,0.010153592,-0.154450044,0.999586046,0.608508587,0.009993136,-0.154550403,0.999503851,0.614695728,0.009905636,-0.154669985,0.999632716,0.590444565,0.011064053,-0.112143911,0.999573171,0.587816238,0.011762917,-0.112132706,0.999406695,0.585584402,0.012205899,-0.112256132,0.999550521,0.640290856,0.025835663,-0.207836956,0.999719322,0.611757874,0.025995674,-0.022177022,0.99960953,0.601875126,0.072960258,-0.14190717,0.999779284,0.590510666,0.074912339,-0.087966643,0.999482751,0.677066386,0.185644209,-0.276690483,0.99917537,0.651848733,0.188406006,0.122200392,0.997829139,0.664615154,0.444666982,-0.251796901,0.961413205,0.64296174,0.391097933,0.169608161,0.059851322,0.557343304,0.469920307,-0.116633259,0.908061326,0.598604739,0.480278611,0.106336132,0.04250687,0.529546499,0.478386521,-0.136121556,0.855715811,0.587659597,0.503672481,0.100917533,0.046517257,0.528360128,0.446472466,-0.121791363,0.850518763,0.583163381,0.490510464,0.073907286,0.047515802,0.540031075,0.445375413,-0.104762398,0.820126951,0.58788836,0.483575821,0.090850361,0.055197407,0.674075842,0.576556027,-0.111779727,0.99204129,0.659912646,0.564967334,0.111848786,0.993509829,0.559214652,0.660820901,-0.077750988,0.757012844,0.614503682,0.793182909,0.16192922,0.667448342,0.53169179,0.864147246,0.106176034,0.570969701,0.647681117,1.036897659,0.25246042,0.660109758,0.544457078,0.909338832,0.124073908,0.673691869,0.66624862,1.077126026,0.260276347,0.733037651,0.459749848,0.894002676,0.109298371,0.561735153,0.595792532,1.107479453,0.235584766,0.587865055
Walking,0.442721307,0.044774458,-0.257018983,0.999517739,0.458795846,0.015335547,-0.277708322,0.999528229,0.463013828,0.016132159,-0.27774483,0.999446094,0.467606783,0.017182376,-0.277939737,0.999571562,0.452351481,0.013378059,-0.2370013,0.999539912,0.452303886,0.012949014,-0.236884683,0.99937439,0.452849537,0.012609575,-0.237188965,0.999507368,0.491950601,0.035104498,-0.30101034,0.999687135,0.478858292,0.026665499,-0.126290455,0.999615967,0.453344285,0.080724448,-0.260157406,0.999729753,0.443844408,0.078880429,-0.209527925,0.999455035,0.493362278,0.222961977,-0.376400441,0.999140263,0.525299191,0.191104069,0.071738198,0.997836232,0.481269419,0.498895139,-0.419311911,0.964850545,0.5248698,0.406688392,0.218697622,0.055492207,0.363255084,0.488615334,-0.360111594,0.916919231,0.455988169,0.49628219,0.283305675,0.044839557,0.337532282,0.49707514,-0.401245445,0.869438887,0.443696022,0.514292061,0.314895123,0.050415315,0.339196861,0.468095481,-0.372965395,0.864658654,0.43459487,0.505479395,0.27960816,0.051220145,0.349765748,0.464222878,-0.346210271,0.836663783,0.439838558,0.502983749,0.271431148,0.059303373,0.523718834,0.627528787,-0.116068944,0.990925372,0.551011562,0.613317668,0.116254196,0.992091358,0.460573971,0.888952196,-0.027673468,0.780646443,0.521594107,0.875710368,0.272508115,0.649671078,0.478500694,1.113994241,0.181200057,0.56902498,0.512203932,1.11619091,0.430202812,0.62999779,0.496417522,1.158184409,0.200168103,0.680867851,0.52475822,1.170375347,0.442748219,0.723530412,0.422800779,1.140224218,0.186472729,0.540751517,0.447811991,1.140487671,0.417335331,0.560416877
Walking,0.395412415,0.043588266,-0.214938089,0.999252915,0.409953922,0.015160692,-0.245834738,0.999313891,0.414150476,0.015855866,-0.245949656,0.999266028,0.418534338,0.016958423,-0.246186048,0.999399722,0.405604273,0.012331636,-0.196936458,0.99927187,0.40632543,0.011596943,-0.196834326,0.99911952,0.407301337,0.010900387,-0.197075516,0.999272883,0.44611159,0.035672054,-0.309083521,0.999582171,0.433292925,0.02666248,-0.096131161,0.999537647,0.404426277,0.080565684,-0.231933162,0.999609411,0.398750246,0.076821096,-0.170722902,0.999311268,0.445400536,0.235290125,-0.38737756,0.999079049,0.454581887,0.196939483,0.085126683,0.99784255,0.418399334,0.504103959,-0.386908561,0.966340184,0.441585213,0.425794274,0.23815462,0.052547257,0.306476653,0.486200303,-0.263213098,0.923350453,0.379494011,0.509109735,0.277006388,0.048943009,0.277501553,0.491207302,-0.296512514,0.879395783,0.368873,0.519251943,0.296896994,0.056790389,0.279427022,0.466833085,-0.273588777,0.874783874,0.363375574,0.510034204,0.262326568,0.057735216,0.292582214,0.461838961,-0.249544263,0.847992778,0.36664924,0.510397553,0.263174474,0.065980077,0.453914344,0.67808938,-0.126524597,0.990626574,0.467562348,0.648046196,0.126795426,0.991357505,0.4048962,0.970195413,-0.019300703,0.796444595,0.444477499,0.925502419,0.300176084,0.602967441,0.426953167,1.198886275,0.232738853,0.544902742,0.446208477,1.16568017,0.495203108,0.579916894,0.445673645,1.237509966,0.257646352,0.670930505,0.459762514,1.212564707,0.511997581,0.68249023,0.373424351,1.236648083,0.236448556,0.50973326,0.386936963,1.198236465,0.476644278,0.520932138
Walking,0.359394491,0.034226269,-0.229353189,0.997374058,0.379997313,0.004951442,-0.258540422,0.997739494,0.385474414,0.007227656,-0.258754909,0.997731745,0.390740842,0.009833824,-0.258986712,0.998167157,0.373018473,-0.000101813,-0.212254792,0.997072756,0.373020947,-0.000997068,-0.212165326,0.996433377,0.373474866,-0.002039273,-0.212351605,0.996924341,0.413036585,0.031799395,-0.319084197,0.998589039,0.39950794,0.016477522,-0.116612926,0.997937977,0.369105637,0.072167009,-0.244065553,0.998492122,0.35992375,0.067087822,-0.18561241,0.997472525,0.412494332,0.225224108,-0.379811972,0.99893868,0.412283987,0.192569137,0.052104104,0.997058094,0.38757351,0.49524498,-0.400911033,0.964823723,0.407586753,0.434810311,0.216201156,0.048155408,0.26558882,0.473678082,-0.299249828,0.925261915,0.351323545,0.535019755,0.248794511,0.046813637,0.235869333,0.466962516,-0.326521069,0.882855058,0.339626908,0.555512011,0.260937631,0.055797841,0.237358049,0.4455176,-0.298818976,0.878238738,0.334891915,0.547075272,0.230591014,0.05678631,0.250941843,0.445879668,-0.282246202,0.849859715,0.339559555,0.542518854,0.235805422,0.064760469,0.39952144,0.667653501,-0.125282139,0.989892304,0.412202746,0.640308619,0.125463426,0.989178717,0.397440881,0.903788149,0.083643161,0.775162876,0.405727863,0.881114781,0.334684223,0.569467008,0.437758595,1.075627208,0.362918586,0.512930036,0.438974798,1.117904663,0.553014934,0.533044755,0.456696182,1.113333344,0.390293896,0.64471674,0.454983234,1.138448715,0.574933648,0.639035344,0.401838541,1.094874859,0.364358395,0.479435354,0.399556279,1.14251864,0.565312207,0.483600527
Walking,0.330985725,0.022646904,-0.202647209,0.997089803,0.349834979,-0.004772293,-0.231442049,0.997503519,0.355680019,-0.001463511,-0.231640071,0.99748224,0.361584753,0.001828518,-0.231862858,0.997950137,0.342773557,-0.011640267,-0.186556295,0.996811807,0.342975169,-0.012705889,-0.186460063,0.996082902,0.343673199,-0.0138278,-0.18663913,0.996559262,0.386075735,0.02557829,-0.286540121,0.998557448,0.369856298,0.009543004,-0.090639733,0.997824252,0.341896594,0.06204224,-0.215330243,0.998432875,0.334423602,0.055996809,-0.158541903,0.997347116,0.384777009,0.220319435,-0.350138843,0.998981953,0.393633395,0.19265382,0.057429455,0.996879339,0.370161533,0.496789128,-0.361337662,0.965916395,0.382829309,0.442043632,0.229796082,0.044971853,0.245734662,0.461681962,-0.266730934,0.930302739,0.311901927,0.525888085,0.239658996,0.045698877,0.213724688,0.45508033,-0.293867439,0.890581071,0.290296108,0.507803619,0.252391815,0.055591013,0.21684809,0.433033675,-0.260369152,0.886107326,0.288796484,0.528711855,0.219012499,0.056703735,0.230404764,0.433427632,-0.246949941,0.858070374,0.292733282,0.530395448,0.223944262,0.064838141,0.368909776,0.682419956,-0.118404269,0.986953199,0.389562517,0.667196512,0.118715204,0.981842041,0.363227189,0.955160499,0.039186768,0.742801309,0.37524122,0.936438859,0.272347391,0.528914094,0.383741468,1.164629579,0.29493916,0.471232027,0.389465868,1.175048947,0.443221569,0.484172493,0.39929539,1.211378932,0.317655295,0.60357219,0.401524007,1.217004895,0.459942967,0.59288311,0.345166832,1.174852133,0.282372773,0.438867331,0.345098197,1.207759023,0.436373651,0.440315187
Walking,0.300425798,0.021022297,-0.240195006,0.996276081,0.320616663,-0.006646165,-0.264839888,0.996798873,0.327187926,-0.003243424,-0.265163004,0.996855438,0.334388196,0.000218281,-0.265497744,0.997410715,0.310099632,-0.013436625,-0.218707487,0.995851219,0.308744997,-0.014455789,-0.218606859,0.994854927,0.307707757,-0.015549132,-0.218830988,0.995054364,0.358049482,0.025594994,-0.286806822,0.998487115,0.326873481,0.009366101,-0.085621782,0.996757269,0.310905457,0.061458275,-0.240555972,0.998396099,0.299770892,0.055678882,-0.182226762,0.997064471,0.376338422,0.218698159,-0.3412866,0.998869419,0.330725551,0.201435193,0.101867259,0.995881438,0.359155953,0.497813851,-0.341696292,0.967445493,0.307052881,0.455984145,0.246353462,0.044549409,0.227813721,0.462291926,-0.238080665,0.934599996,0.23552385,0.525100827,0.168807149,0.054153416,0.197617292,0.4579539,-0.26506564,0.896686256,0.213372275,0.50279206,0.17134738,0.066880368,0.197497651,0.434227914,-0.240411952,0.892639577,0.206831694,0.500057459,0.13380529,0.069394849,0.209547371,0.434396118,-0.220174626,0.86554575,0.227734804,0.524806619,0.147394821,0.078633897,0.346279323,0.706896782,-0.10155227,0.984104037,0.296595216,0.694271922,0.102084264,0.978873134,0.336721033,1.03599298,-0.068222009,0.733245075,0.273621738,1.027363062,0.149278849,0.524965763,0.329695046,1.260398984,0.32603091,0.434062988,0.280889452,1.279943228,0.424957991,0.449792951,0.335172087,1.28995502,0.361288905,0.554517448,0.287586838,1.315105796,0.447495848,0.548955977,0.300815731,1.348518848,0.25915435,0.401835561,0.256308228,1.365528226,0.358455211,0.404585749
Walking,0.276037514,0.021873498,-0.306229293,0.996497095,0.29732722,-0.006651002,-0.317693532,0.997001708,0.305884629,-0.003043162,-0.317946941,0.997058392,0.315020293,0.000587338,-0.318239063,0.997577369,0.282545835,-0.013781196,-0.279077768,0.996096075,0.279848516,-0.014770223,-0.279025614,0.995135248,0.277636945,-0.015692778,-0.279198706,0.995272636,0.335569263,0.027462585,-0.286263198,0.998599231,0.294283241,0.010266933,-0.11020992,0.996884167,0.286731541,0.061960306,-0.287351668,0.998535633,0.272738099,0.057036337,-0.23779957,0.997275233,0.369824201,0.231681123,-0.310038328,0.998939097,0.272654355,0.228114769,0.100787342,0.995867312,0.360764861,0.507095993,-0.350166678,0.970436931,0.249275178,0.472445965,0.314933956,0.06449277,0.219433635,0.465175837,-0.412256002,0.940750659,0.172748953,0.515559494,0.272675246,0.115503408,0.181260884,0.462743223,-0.458886445,0.906021178,0.147503644,0.494113892,0.278803766,0.126821861,0.179968104,0.437919617,-0.436559618,0.902373075,0.137665659,0.459149778,0.236064598,0.130930096,0.190894276,0.436422378,-0.396751553,0.877556503,0.152273819,0.468156338,0.252744496,0.140998572,0.324184179,0.722899616,-0.091713034,0.985293686,0.244654983,0.70919764,0.092302904,0.980394006,0.312365353,1.073502302,-0.097012445,0.721043468,0.20824568,1.058274984,0.10759332,0.528836071,0.296337366,1.329583883,0.28689009,0.395913243,0.219473571,1.316745758,0.48318997,0.410379529,0.29952988,1.366789699,0.319329619,0.507195652,0.229048684,1.352371693,0.517869115,0.500224829,0.270890146,1.429153085,0.200012133,0.365254372,0.191425472,1.41505444,0.386366993,0.367545903
Walking,0.25824514,0.022776121,-0.338961512,0.996649384,0.276544183,-0.005836302,-0.341637224,0.997106731,0.285207123,-0.002502513,-0.341804057,0.997158587,0.294461906,0.000907963,-0.341999322,0.997656822,0.258600444,-0.012184094,-0.311189115,0.996235549,0.254342169,-0.01305342,-0.311246455,0.99529773,0.250699848,-0.013959453,-0.311406434,0.995375156,0.313242316,0.027744483,-0.283309758,0.998667419,0.263045937,0.010559255,-0.140402243,0.996783495,0.270128042,0.062184915,-0.312291414,0.99864763,0.253389895,0.057310291,-0.272476077,0.997420073,0.367044002,0.243738934,-0.272491276,0.998975039,0.224762678,0.234382018,0.038922831,0.995888889,0.37185806,0.515636981,-0.304900199,0.973270476,0.196488053,0.474301994,0.156600207,0.122873776,0.230890915,0.487524033,-0.344455421,0.946298301,0.135897145,0.490238816,-0.032353051,0.194200605,0.189198047,0.479799449,-0.381492198,0.914169967,0.107967637,0.475897253,-0.048941787,0.201778933,0.189606115,0.451466322,-0.35583654,0.910861731,0.106140569,0.441950828,-0.086338371,0.206520349,0.202491552,0.451960206,-0.326795608,0.888303638,0.120862268,0.447594106,-0.053653128,0.216325164,0.307868034,0.723209023,-0.068208292,0.98620224,0.214771792,0.706791878,0.068682596,0.981676996,0.293523639,0.992869675,-0.073609099,0.696218014,0.192351833,0.993417621,0.148670107,0.502449989,0.267318308,1.306298852,0.302118778,0.357977718,0.184508637,1.308555961,0.462643236,0.371410578,0.268910885,1.341469526,0.331591666,0.459146738,0.189396009,1.351436853,0.488938242,0.45255819,0.242397755,1.409451008,0.194435373,0.32981962,0.162491783,1.399689198,0.34798789,0.332106203
Walking,0.250769407,0.01764825,-0.347105145,0.996899724,0.269996554,-0.012613903,-0.341838956,0.99731797,0.278023839,-0.007617544,-0.342017621,0.997367382,0.285971045,-0.002673004,-0.34218961,0.997815847,0.249302596,-0.019977728,-0.319614947,0.996498704,0.243124649,-0.019460311,-0.319696724,0.995644748,0.237641051,-0.018863417,-0.319859862,0.99569279,0.299915254,0.026249273,-0.2668612,0.998764217,0.245793134,0.009841214,-0.151375368,0.996953905,0.261137456,0.057112973,-0.311998188,0.998768866,0.241145521,0.053832043,-0.282562315,0.997630894,0.35610956,0.247203872,-0.210986644,0.99904424,0.182127446,0.230421633,-0.01740969,0.996082842,0.369056672,0.511254966,-0.26185447,0.975757658,0.159457043,0.484400809,-0.011792807,0.199924678,0.265187979,0.496438205,-0.4343144,0.951186359,0.11573188,0.483666271,-0.332155317,0.271995485,0.229924873,0.489015669,-0.49265933,0.921478689,0.087849848,0.471753895,-0.382537603,0.277636737,0.227682516,0.459105343,-0.477360189,0.918538213,0.08884263,0.437326849,-0.420294613,0.282451212,0.236290261,0.457255125,-0.425427914,0.89812392,0.102037206,0.439140499,-0.356187254,0.29127422,0.293409407,0.712891281,-0.045970608,0.98729676,0.191963196,0.695485115,0.046417322,0.9830423,0.264886886,0.991625786,-0.073771082,0.683812857,0.16328533,0.993082106,0.11526648,0.48775059,0.261396676,1.310707211,0.328362405,0.323921978,0.156679302,1.287754536,0.469093651,0.335915089,0.261306167,1.347871423,0.362823606,0.415720254,0.159327284,1.326977134,0.501882911,0.40907377,0.246036857,1.416769385,0.213004678,0.297810316,0.149020121,1.384945631,0.348793387,0.299843729
Walking,0.261699766,0.007684798,-0.275600821,0.997202218,0.274272293,-0.020408679,-0.226162821,0.997571349,0.282381713,-0.014947741,-0.226321578,0.99762255,0.290300816,-0.0097255,-0.226333335,0.998021543,0.254723817,-0.027014624,-0.247327805,0.996831477,0.248326346,-0.025267119,-0.247761518,0.996068597,0.241479471,-0.023408389,-0.247972533,0.996100843,0.297329187,0.018419465,-0.080061711,0.998883426,0.230767161,0.004636816,-0.097393766,0.99724865,0.270180106,0.050533861,-0.199366868,0.998886585,0.248948544,0.043264035,-0.231597543,0.997857749,0.345122546,0.246181101,-0.037457701,0.999134243,0.15149945,0.226918578,-0.008158656,0.996427119,0.368668258,0.502805471,-0.083391853,0.978154242,0.116264537,0.471567154,-0.117549382,0.279405713,0.295788109,0.494244814,-0.34949261,0.956009746,0.106571615,0.472878784,-0.443850428,0.344300717,0.264226228,0.497630894,-0.422757775,0.929204583,0.095451564,0.472541302,-0.496347606,0.349049032,0.262837708,0.460359156,-0.368493229,0.926562428,0.100580014,0.433248609,-0.517598271,0.353437901,0.271838933,0.456548095,-0.412726462,0.908197224,0.112216339,0.424691677,-0.459342331,0.361506402,0.28311336,0.703839004,0.003928266,0.988551676,0.17230621,0.694187701,-0.002976062,0.984713495,0.252335668,0.990285575,-0.059523981,0.689422727,0.161704972,1.00090456,0.073359057,0.495271772,0.248847842,1.351153255,0.292008102,0.291986346,0.152921796,1.343104005,0.405388504,0.302762836,0.249357179,1.394542098,0.320635974,0.37513414,0.149529606,1.385311246,0.436937958,0.368788362,0.233192518,1.458615065,0.186267346,0.268176913,0.159288064,1.44735229,0.270864069,0.270018965
